100,2,0,WEEKLY,3654.00,5768.99,432.69,25.00
101,2,0,WEEKLY,5769.00,10576.99,961.54,30.00
102,2,0,WEEKLY,10577.00,100000000.00,2403.85,32.00
103,3,0,WEEKLY,0.00,961.99,0.00,0.00
104,3,0,WEEKLY,962.00,1153.99,0.00,5.00
105,3,0,WEEKLY,1154.00,1537.99,9.62,10.00
106,3,0,WEEKLY,1538.00,2307.99,48.08,15.00
107,3,0,WEEKLY,2308.00,3653.99,163.46,20.00
108,3,0,WEEKLY,3654.00,5768.99,432.69,25.00
109,3,0,WEEKLY,5769.00,10576.99,961.54,30.00
110,3,0,WEEKLY,10577.00,100000000.00,2403.85,32.00
111,2,1,WEEKLY,0.00,1441.99,0.00,0.00
112,2,1,WEEKLY,1442.00,1634.99,0.00,5.00
113,2,1,WEEKLY,1635.00,2018.99,9.62,10.00
114,2,1,WEEKLY,2019.00,2787.99,48.08,15.00
115,2,1,WEEKLY,2788.00,4134.99,163.46,20.00
116,2,1,WEEKLY,4135.00,6249.99,432.69,25.00
117,2,1,WEEKLY,6250.00,11057.99,961.54,30.00
118,2,1,WEEKLY,11058.00,100000000.00,2403.85,32.00
119,3,1,WEEKLY,0.00,1441.99,0.00,0.00
120,3,1,WEEKLY,1442.00,1634.99,0.00,5.00
121,3,1,WEEKLY,1635.00,2018.99,9.62,10.00
122,3,1,WEEKLY,2019.00,2787.99,48.08,15.00
123,3,1,WEEKLY,2788.00,4134.99,163.46,20.00
124,3,1,WEEKLY,4135.00,6249.99,432.69,25.00
125,3,1,WEEKLY,6250.00,11057.99,961.54,30.00
126,3,1,WEEKLY,11058.00,100000000.00,2403.85,32.00
127,2,2,WEEKLY,0.00,1922.99,0.00,0.00
128,2,2,WEEKLY,1923.00,2114.99,0.00,5.00
129,2,2,WEEKLY,2115.00,2499.99,9.62,10.00
130,2,2,WEEKLY,2500.00,3268.99,48.08,15.00
131,2,2,WEEKLY,3269.00,4614.99,163.46,20.00
132,2,2,WEEKLY,4615.00,6730.99,432.69,25.00
133,2,2,WEEKLY,6731.00,11537.99,961.54,30.00
134,2,2,WEEKLY,11538.00,100000000.00,2403.85,32.00
135,3,2,WEEKLY,0.00,1922.99,0.00,0.00
136,3,2,WEEKLY,1923.00,2114.99,0.00,5.00
137,3,2,WEEKLY,2115.00,2499.99,9.62,10.00
138,3,2,WEEKLY,2500.00,3268.99,48.08,15.00
139,3,2,WEEKLY,3269.00,4614.99,163.46,20.00
140,3,2,WEEKLY,4615.00,6730.99,432.69,25.00
141,3,2,WEEKLY,6731.00,11537.99,961.54,30.00
142,3,2,WEEKLY,11538.00,100000000.00,2403.85,32.00
143,2,3,WEEKLY,0.00,2403.99,0.00,0.00
144,2,3,WEEKLY,2404.00,2568.99,0.00,5.00
145,2,3,WEEKLY,2569.00,2980.99,9.62,10.00
146,2,3,WEEKLY,2981.00,3749.99,48.08,15.00
147,2,3,WEEKLY,3750.00,5068.99,163.46,20.00
148,2,3,WEEKLY,5069.00,7211.99,432.69,25.00
149,2,3,WEEKLY,7212.00,12018.99,961.54,30.00
150,2,3,WEEKLY,12019.00,100000000.00,2403.85,32.00
151,3,3,WEEKLY,0.00,2403.99,0.00,0.00
152,3,3,WEEKLY,2404.00,2568.99,0.00,5.00
153,3,3,WEEKLY,2569.00,2980.99,9.62,10.00
154,3,3,WEEKLY,2981.00,3749.99,48.08,15.00
155,3,3,WEEKLY,3750.00,5068.99,163.46,20.00
156,3,3,WEEKLY,5069.00,7211.99,432.69,25.00
157,3,3,WEEKLY,7212.00,12018.99,961.54,30.00
158,3,3,WEEKLY,12019.00,100000000.00,2403.85,32.00
159,2,4,WEEKLY,0.00,2884.99,0.00,0.00
160,2,4,WEEKLY,2885.00,3076.99,0.00,5.00
161,2,4,WEEKLY,3077.00,3461.99,9.62,10.00
162,2,4,WEEKLY,3462.00,4230.99,48.08,15.00
163,2,4,WEEKLY,4231.00,5576.99,163.46,20.00
164,2,4,WEEKLY,5577.00,7691.99,432.69,25.00
165,2,4,WEEKLY,7692.00,12499.99,961.54,30.00
166,2,4,WEEKLY,12500.00,100000000.00,2403.85,32.00
167,3,4,WEEKLY,0.00,2884.99,0.00,0.00
168,3,4,WEEKLY,2885.00,3076.99,0.00,5.00
169,3,4,WEEKLY,3077.00,3461.99,9.62,10.00
170,3,4,WEEKLY,3462.00,4230.99,48.08,15.00
171,3,4,WEEKLY,4231.00,5576.99,163.46,20.00
172,3,4,WEEKLY,5577.00,7691.99,432.69,25.00
173,3,4,WEEKLY,7692.00,12499.99,961.54,30.00
174,3,4,WEEKLY,12500.00,100000000.00,2403.85,32.00
175,1,0,SEMI-MONTHLY,0.00,416.99,0.00,0.00
176,1,0,SEMI-MONTHLY,417.00,1249.99,20.83,10.00
177,1,0,SEMI-MONTHLY,1250.00,2916.99,104.17,15.00
178,1,0,SEMI-MONTHLY,2917.00,5832.99,354.17,20.00
179,1,0,SEMI-MONTHLY,5833.00,10416.99,937.50,25.00
180,1,0,SEMI-MONTHLY,10417.00,20832.99,2083.33,30.00
181,1,0,SEMI-MONTHLY,20833.00,100000000.00,5208.33,32.00
182,2,0,SEMI-MONTHLY,0.00,2082.99,0.00,0.00
183,2,0,SEMI-MONTHLY,2083.00,2499.99,0.00,5.00
184,2,0,SEMI-MONTHLY,2500.00,3332.99,20.83,10.00
185,2,0,SEMI-MONTHLY,3333.00,4999.99,104.17,15.00
186,2,0,SEMI-MONTHLY,5000.00,7916.99,354.17,20.00
187,2,0,SEMI-MONTHLY,7917.00,12499.99,937.50,25.00
188,2,0,SEMI-MONTHLY,12500.00,22916.99,2083.33,30.00
189,2,0,SEMI-MONTHLY,22917.00,100000000.00,5208.33,32.00
190,3,0,SEMI-MONTHLY,0.00,2082.99,0.00,0.00
191,3,0,SEMI-MONTHLY,2083.00,2499.99,0.00,5.00
192,3,0,SEMI-MONTHLY,2500.00,3332.99,20.83,10.00
193,3,0,SEMI-MONTHLY,3333.00,4999.99,104.17,15.00
194,3,0,SEMI-MONTHLY,5000.00,7916.99,354.17,20.00
195,3,0,SEMI-MONTHLY,7917.00,12499.99,937.50,25.00
196,3,0,SEMI-MONTHLY,12500.00,22916.99,2083.33,30.00
197,3,0,SEMI-MONTHLY,22917.00,100000000.00,5208.33,32.00
198,2,1,SEMI-MONTHLY,0.00,3124.99,0.00,0.00
199,2,1,SEMI-MONTHLY,3125.00,3541.99,0.00,5.00
200,2,1,SEMI-MONTHLY,3542.00,4374.99,20.83,10.00
201,2,1,SEMI-MONTHLY,4375.00,6041.99,104.17,15.00
202,2,1,SEMI-MONTHLY,6042.00,8957.99,354.17,20.00
203,2,1,SEMI-MONTHLY,8958.00,13541.99,937.50,25.00
204,2,1,SEMI-MONTHLY,13542.00,23957.99,2083.33,30.00
205,2,1,SEMI-MONTHLY,23958.00,100000000.00,5208.33,32.00
206,3,1,SEMI-MONTHLY,0.00,3124.99,0.00,0.00
207,3,1,SEMI-MONTHLY,3125.00,3541.99,0.00,5.00
208,3,1,SEMI-MONTHLY,3542.00,4374.99,20.83,10.00
209,3,1,SEMI-MONTHLY,4375.00,6041.99,104.17,15.00
210,3,1,SEMI-MONTHLY,6042.00,8957.99,354.17,20.00
211,3,1,SEMI-MONTHLY,8958.00,13541.99,937.50,25.00
212,3,1,SEMI-MONTHLY,13542.00,23957.99,2083.33,30.00
213,3,1,SEMI-MONTHLY,23958.00,100000000.00,5208.33,32.00
214,2,2,SEMI-MONTHLY,0.00,4166.99,0.00,0.00
215,2,2,SEMI-MONTHLY,4167.00,4582.99,0.00,5.00
216,2,2,SEMI-MONTHLY,4583.00,5416.99,20.83,10.00
217,2,2,SEMI-MONTHLY,5417.00,7082.99,104.17,15.00
218,2,2,SEMI-MONTHLY,7083.00,9999.99,354.17,20.00
219,2,2,SEMI-MONTHLY,10000.00,14582.99,937.50,25.00
220,2,2,SEMI-MONTHLY,14583.00,24999.99,2083.33,30.00
221,2,2,SEMI-MONTHLY,25000.00,100000000.00,5208.33,32.00
222,3,2,SEMI-MONTHLY,0.00,4166.99,0.00,0.00
223,3,2,SEMI-MONTHLY,4167.00,4582.99,0.00,5.00
224,3,2,SEMI-MONTHLY,4583.00,5416.99,20.83,10.00
225,3,2,SEMI-MONTHLY,5417.00,7082.99,104.17,15.00
226,3,2,SEMI-MONTHLY,7083.00,9999.99,354.17,20.00
227,3,2,SEMI-MONTHLY,10000.00,14582.99,937.50,25.00
228,3,2,SEMI-MONTHLY,14583.00,24999.99,2083.33,30.00
229,3,2,SEMI-MONTHLY,25000.00,100000000.00,5208.33,32.00
230,2,3,SEMI-MONTHLY,0.00,5207.99,0.00,0.00
231,2,3,SEMI-MONTHLY,5208.00,5624.99,0.00,5.00
232,2,3,SEMI-MONTHLY,5625.00,6457.99,20.83,10.00
233,2,3,SEMI-MONTHLY,6458.00,8124.99,104.17,15.00
234,2,3,SEMI-MONTHLY,8125.00,11041.99,354.17,20.00
235,2,3,SEMI-MONTHLY,11042.00,15624.99,937.50,25.00
236,2,3,SEMI-MONTHLY,15625.00,26041.99,2083.33,30.00
237,2,3,SEMI-MONTHLY,26042.00,100000000.00,5208.33,32.00
238,3,3,SEMI-MONTHLY,0.00,5207.99,0.00,0.00
239,3,3,SEMI-MONTHLY,5208.00,5624.99,0.00,5.00
240,3,3,SEMI-MONTHLY,5625.00,6457.99,20.83,10.00
241,3,3,SEMI-MONTHLY,6458.00,8124.99,104.17,15.00
242,3,3,SEMI-MONTHLY,8125.00,11041.99,354.17,20.00
243,3,3,SEMI-MONTHLY,11042.00,15624.99,937.50,25.00
244,3,3,SEMI-MONTHLY,15625.00,26041.99,2083.33,30.00
245,3,3,SEMI-MONTHLY,26042.00,100000000.00,5208.33,32.00
246,2,4,SEMI-MONTHLY,0.00,6249.99,0.00,0.00
247,2,4,SEMI-MONTHLY,6250.00,6666.99,0.00,5.00
248,2,4,SEMI-MONTHLY,6667.00,7499.99,20.83,10.00
249,2,4,SEMI-MONTHLY,7500.00,9166.99,104.17,15.00
250,2,4,SEMI-MONTHLY,9167.00,12082.99,354.17,20.00
251,2,4,SEMI-MONTHLY,12083.00,16666.99,937.50,25.00
252,2,4,SEMI-MONTHLY,16667.00,27082.99,2083.33,30.00
253,2,4,SEMI-MONTHLY,27083.00,100000000.00,5208.33,32.00
254,3,4,SEMI-MONTHLY,0.00,6249.99,0.00,0.00
255,3,4,SEMI-MONTHLY,6250.00,6666.99,0.00,5.00
256,3,4,SEMI-MONTHLY,6667.00,7499.99,20.83,10.00
257,3,4,SEMI-MONTHLY,7500.00,9166.99,104.17,15.00
258,3,4,SEMI-MONTHLY,9167.00,12082.99,354.17,20.00
259,3,4,SEMI-MONTHLY,12083.00,16666.99,937.50,25.00
260,3,4,SEMI-MONTHLY,16667.00,27082.99,2083.33,30.00
261,3,4,SEMI-MONTHLY,27083.00,100000000.00,5208.33,32.00
262,1,0,MONTHLY,0.00,832.99,0.00,0.00
263,1,0,MONTHLY,833.00,2499.99,41.67,10.00
264,1,0,MONTHLY,2500.00,5832.99,208.33,15.00
265,1,0,MONTHLY,5833.00,11666.99,708.33,20.00
266,1,0,MONTHLY,11667.00,20832.99,1875.00,25.00
267,1,0,MONTHLY,20833.00,41666.99,4166.67,30.00
268,1,0,MONTHLY,41667.00,100000000.00,10416.67,32.00
269,2,0,MONTHLY,0.00,4166.99,0.00,0.00
270,2,0,MONTHLY,4167.00,4999.99,0.00,5.00
271,2,0,MONTHLY,5000.00,6666.99,41.67,10.00
272,2,0,MONTHLY,6667.00,9999.99,208.33,15.00
273,2,0,MONTHLY,10000.00,15832.99,708.33,20.00
274,2,0,MONTHLY,15833.00,24999.99,1875.00,25.00
275,2,0,MONTHLY,25000.00,45832.99,4166.67,30.00
276,2,0,MONTHLY,45833.00,100000000.00,10416.67,32.00
277,3,0,MONTHLY,0.00,4166.99,0.00,0.00
278,3,0,MONTHLY,4167.00,4999.99,0.00,5.00
279,3,0,MONTHLY,5000.00,6666.99,41.67,10.00
280,3,0,MONTHLY,6667.00,9999.99,208.33,15.00
281,3,0,MONTHLY,10000.00,15832.99,708.33,20.00
282,3,0,MONTHLY,15833.00,24999.99,1875.00,25.00
283,3,0,MONTHLY,25000.00,45832.99,4166.67,30.00
284,3,0,MONTHLY,45833.00,100000000.00,10416.67,32.00
285,2,1,MONTHLY,0.00,6249.99,0.00,0.00
286,2,1,MONTHLY,6250.00,7082.99,0.00,5.00
